id,created,revision,downloads,views,unique_downloads,unique_views
4737253,2021-05-04T13:51:14.517620+00:00,3,26.0,104.0,25.0,101.0
4733035,2021-05-02T16:03:55.860806+00:00,4,43.0,119.0,41.0,110.0
4729039,2021-04-30T01:16:47.653070+00:00,4,181.0,58.0,29.0,49.0
4716122,2021-04-23T16:12:55.201331+00:00,3,69.0,177.0,68.0,161.0
4701585,2021-04-19T18:41:21.168056+00:00,3,67.0,155.0,59.0,140.0
4665536,2021-04-06T13:45:57.239605+00:00,3,99.0,224.0,90.0,197.0
4637111,2021-03-25T16:08:17.015670+00:00,4,63.0,158.0,59.0,153.0
4619197,2021-03-18T19:51:18.858656+00:00,3,242.0,263.0,147.0,241.0
4602567,2021-03-13T01:05:16.107229+00:00,4,40.0,143.0,39.0,126.0
4568354,2021-02-27T17:06:57.536360+00:00,3,91.0,269.0,82.0,254.0
4563661,2021-02-26T05:49:24.406656+00:00,3,17.0,63.0,17.0,60.0
4552736,2021-02-19T21:51:12.885994+00:00,4,34.0,65.0,31.0,59.0
4545223,2021-02-17T11:07:52.605731+00:00,3,15.0,54.0,15.0,51.0
4452649,2021-02-08T23:00:48.072371+00:00,3,31.0,96.0,30.0,85.0
4502715,2021-02-04T18:24:46.021107+00:00,4,51.0,131.0,48.0,121.0
4498802,2021-02-03T20:17:14.000999+00:00,3,78.0,172.0,73.0,150.0
4482467,2021-01-30T18:17:39.608518+00:00,3,86.0,208.0,79.0,184.0
4471687,2021-01-27T12:14:23.901188+00:00,3,67.0,187.0,55.0,169.0
4463989,2021-01-25T18:27:56.604525+00:00,3,56.0,90.0,49.0,77.0
4457880,2021-01-22T16:23:34.900787+00:00,2,53.0,97.0,38.0,93.0
4448256,2021-01-18T21:05:00.238870+00:00,3,184.0,178.0,139.0,159.0
4444803,2021-01-16T11:23:25.751686+00:00,5,83.0,194.0,57.0,174.0
4443054,2021-01-15T16:03:39.859137+00:00,3,14.0,91.0,14.0,85.0
4433429,2021-01-12T06:31:42.353844+00:00,3,23.0,92.0,23.0,81.0
4421786,2021-01-06T18:46:54.192925+00:00,3,40.0,316.0,40.0,295.0
4357052,2020-12-18T17:10:40.985434+00:00,3,255.0,321.0,140.0,297.0
4290892,2020-11-25T18:42:55.586005+00:00,3,14.0,59.0,14.0,55.0
4287356,2020-11-23T16:21:16.384629+00:00,5,66.0,138.0,60.0,123.0
4275954,2020-11-16T15:29:19.326371+00:00,3,15.0,61.0,15.0,59.0
4269665,2020-11-12T11:14:49.355168+00:00,4,24.0,89.0,24.0,86.0
4266119,2020-11-10T09:55:54.685402+00:00,5,9.0,60.0,9.0,52.0
4139612,2020-10-27T13:24:14.711728+00:00,3,50.0,101.0,43.0,89.0
4116125,2020-10-21T18:09:14.118087+00:00,3,33.0,62.0,32.0,59.0
4115399,2020-10-21T13:44:43.474161+00:00,3,45.0,107.0,43.0,99.0
4110947,2020-10-20T22:15:34.970890+00:00,4,61.0,144.0,56.0,127.0
4088940,2020-10-14T21:14:17.148821+00:00,3,59.0,140.0,57.0,135.0
4074995,2020-10-09T09:47:20.817860+00:00,4,16.0,41.0,14.0,38.0
4066885,2020-10-05T16:05:09.126128+00:00,3,57.0,161.0,57.0,151.0
4039422,2020-09-20T09:24:03.519443+00:00,4,35.0,151.0,34.0,126.0
4029206,2020-09-14T17:11:57.861741+00:00,4,157.0,302.0,150.0,277.0
4026093,2020-09-12T13:41:05.355263+00:00,4,68.0,151.0,56.0,133.0
4017410,2020-09-07T10:46:50.752966+00:00,4,16.0,76.0,16.0,71.0
4013683,2020-09-03T13:15:16.215751+00:00,4,22.0,63.0,22.0,62.0
4007866,2020-08-29T17:05:00.588210+00:00,8,84.0,644.0,83.0,545.0
4004262,2020-08-27T15:11:28.109403+00:00,3,5.0,35.0,5.0,32.0
3997900,2020-08-24T18:02:26.494473+00:00,4,193.0,340.0,151.0,309.0
3996625,2020-08-23T17:27:23.380700+00:00,5,31.0,126.0,30.0,94.0
3981200,2020-08-12T15:25:28.828219+00:00,3,28.0,64.0,27.0,59.0
3972652,2020-08-05T06:54:19.096659+00:00,3,67.0,134.0,56.0,126.0
3967674,2020-07-30T18:06:52.524639+00:00,3,13.0,43.0,13.0,42.0
3959907,2020-07-25T03:47:54.850426+00:00,3,100.0,215.0,83.0,176.0
3948449,2020-07-16T17:43:42.212038+00:00,3,33.0,102.0,29.0,97.0
3942148,2020-07-13T16:40:38.829081+00:00,6,40.0,104.0,37.0,86.0
3925391,2020-07-01T11:20:45.277468+00:00,3,86.0,323.0,83.0,284.0
3923957,2020-06-30T13:41:31.061525+00:00,3,62.0,186.0,54.0,178.0
3908270,2020-06-25T14:25:35.436777+00:00,3,33.0,121.0,32.0,108.0
3366100,2019-08-12T13:29:53.003304+00:00,4,68.0,230.0,62.0,214.0
6790852,2022-07-02T14:43:33.852359+00:00,3,7.0,51.0,5.0,43.0
